Pavarde         Vardas         Galutinis (Vid.)  Galutinis (Med.)
Pavarde2586750  Vardas849684   3.64              4.00              
Pavarde2627598  Vardas6590439  4.43              4.60              
Pavarde2632262  Vardas1635983  3.23              3.00              
Pavarde2717286  Vardas9321916  3.80              4.20              
Pavarde2789500  Vardas9774180  3.13              3.40              
Pavarde2810558  Vardas2660257  4.77              4.60              
Pavarde2817957  Vardas9596552  3.37              3.40              
Pavarde2860409  Vardas8952958  3.83              3.20              
Pavarde2872151  Vardas3491657  4.80              4.40              
Pavarde287464   Vardas9318162  3.33              2.80              
Pavarde2924429  Vardas6024863  3.60              3.60              
Pavarde2989149  Vardas8419895  3.77              4.00              
Pavarde2994583  Vardas5682410  2.67              2.60              
Pavarde3001820  Vardas5220051  2.54              2.60              
Pavarde3019337  Vardas3401832  2.90              2.80              
Pavarde3036008  Vardas2707920  4.62              4.40              
Pavarde3040076  Vardas7694202  3.40              3.40              
Pavarde3092164  Vardas1331572  5.13              4.80              
Pavarde3092274  Vardas184237   4.11              4.20              
Pavarde3125152  Vardas9338642  4.88              4.80              
Pavarde3132585  Vardas5617627  2.47              2.20              
Pavarde3135683  Vardas4433736  5.20              4.80              
Pavarde3178863  Vardas4424918  3.84              4.00              
Pavarde318797   Vardas2539798  4.60              4.60              
Pavarde3192119  Vardas3769841  2.47              2.60              
Pavarde3213855  Vardas8881003  2.00              2.00              
Pavarde3238780  Vardas6942576  3.23              3.40              
Pavarde3260427  Vardas657680   2.70              2.20              
Pavarde3261383  Vardas3521322  3.91              4.20              
Pavarde3293426  Vardas3032673  4.09              4.20              
Pavarde3324754  Vardas5528434  3.37              3.20              
Pavarde3367473  Vardas7037646  2.70              2.80              
Pavarde3412071  Vardas5211371  4.58              4.00              
Pavarde3477881  Vardas68493    5.10              4.80              
Pavarde3478474  Vardas1125393  4.12              3.60              
Pavarde349890   Vardas6731152  3.98              4.00              
Pavarde3508924  Vardas8941991  2.38              2.20              
Pavarde3520168  Vardas1942553  4.27              4.40              
Pavarde3521374  Vardas9762469  3.18              3.20              
Pavarde3569345  Vardas8496008  4.80              4.80              
Pavarde3574844  Vardas1050014  4.31              4.60              
Pavarde3578436  Vardas9397280  3.31              3.60              
Pavarde3590886  Vardas2609753  2.60              2.40              
Pavarde3660610  Vardas1541527  3.11              3.40              
Pavarde368377   Vardas5297575  3.00              3.00              
Pavarde3685900  Vardas213797   2.81              2.60              
Pavarde3694071  Vardas5251053  4.00              4.00              
Pavarde3732955  Vardas7282540  4.14              4.40              
Pavarde3750561  Vardas1131149  4.40              4.60              
Pavarde3768911  Vardas6040218  3.49              4.00              
Pavarde3769690  Vardas2612095  4.04              3.80              
Pavarde3896953  Vardas3558023  4.70              4.20              
Pavarde3914717  Vardas1704518  2.71              3.00              
Pavarde3934944  Vardas1849736  3.60              3.60              
Pavarde3955097  Vardas6954643  1.27              1.00              
Pavarde396304   Vardas3228298  3.55              3.40              
Pavarde3979027  Vardas1781662  3.26              3.20              
Pavarde3979123  Vardas5028193  3.48              3.20              
Pavarde4013858  Vardas1807722  2.93              3.00              
Pavarde4097156  Vardas8540194  3.55              3.20              
Pavarde4161641  Vardas3741180  3.04              3.00              
Pavarde417446   Vardas2543444  4.44              4.40              
Pavarde418068   Vardas3258594  3.24              3.20              
Pavarde4209974  Vardas8253292  4.00              4.00              
Pavarde4221498  Vardas368769   3.47              3.20              
Pavarde4244682  Vardas612690   3.77              3.60              
Pavarde4247680  Vardas2836934  4.42              4.40              
Pavarde4259476  Vardas1974123  3.20              3.20              
Pavarde4299449  Vardas9641023  3.20              2.80              
Pavarde4302609  Vardas7763632  2.51              3.00              
Pavarde4324648  Vardas9831582  5.00              4.60              
Pavarde4350590  Vardas6950106  2.76              2.20              
Pavarde4358701  Vardas1744780  3.72              3.80              
Pavarde4364495  Vardas5476344  2.80              3.00              
Pavarde4390715  Vardas8837416  4.00              3.80              
Pavarde4409667  Vardas9379809  4.94              4.80              
Pavarde4429852  Vardas5597340  2.60              2.20              
Pavarde4448088  Vardas3175454  3.16              3.80              
Pavarde4485021  Vardas1482601  3.96              3.60              
Pavarde4504153  Vardas9207895  4.06              3.60              
Pavarde453051   Vardas2076637  3.08              2.60              
Pavarde4557743  Vardas4735051  2.65              2.60              
Pavarde4591605  Vardas9406470  4.33              4.60              
Pavarde459705   Vardas7264618  3.56              3.60              
Pavarde4619512  Vardas2242002  2.93              2.40              
Pavarde4642009  Vardas7304026  4.18              4.40              
Pavarde4653579  Vardas9048367  5.29              4.60              
Pavarde4671031  Vardas1874344  3.51              3.60              
Pavarde4687468  Vardas2900468  3.03              2.40              
Pavarde4736495  Vardas6281584  5.20              4.80              
Pavarde4738064  Vardas5293448  4.05              3.80              
Pavarde4771548  Vardas7477240  3.34              3.60              
Pavarde4780482  Vardas3988358  4.40              4.80              
Pavarde4787913  Vardas9960965  3.50              3.40              
Pavarde4788096  Vardas7348626  3.96              4.00              
Pavarde4791681  Vardas9826886  4.80              4.80              
Pavarde4803512  Vardas3104271  3.76              3.60              
Pavarde4805285  Vardas67277    4.20              4.60              
Pavarde4813998  Vardas9079368  4.08              4.40              
Pavarde4864838  Vardas2056158  4.37              4.60              
Pavarde489550   Vardas7022780  2.84              2.80              
Pavarde4900921  Vardas2272455  3.80              3.80              
Pavarde4927439  Vardas1302070  4.80              4.80              
Pavarde493017   Vardas8872731  2.71              2.60              
Pavarde4931885  Vardas3082820  3.40              3.20              
Pavarde49559    Vardas9501814  3.10              2.80              
Pavarde4957398  Vardas2779822  4.38              4.40              
Pavarde4993821  Vardas2485935  2.90              3.00              
Pavarde501055   Vardas6241646  3.74              3.60              
Pavarde5029688  Vardas8504883  3.43              3.60              
Pavarde507218   Vardas1442830  5.36              4.80              
Pavarde5088046  Vardas9294478  4.23              4.60              
Pavarde5100412  Vardas4478639  4.65              4.20              
Pavarde5126205  Vardas3431885  3.99              3.40              
Pavarde5130082  Vardas5043279  4.92              4.80              
Pavarde5145213  Vardas4309765  4.30              4.20              
Pavarde5165095  Vardas1187625  2.20              2.20              
Pavarde5177630  Vardas2154010  3.13              3.00              
Pavarde5263108  Vardas8198288  5.12              4.80              
Pavarde5276683  Vardas8511922  3.00              2.60              
Pavarde5278010  Vardas8114587  4.60              4.60              
Pavarde5286146  Vardas3087481  3.48              3.20              
Pavarde5299193  Vardas9167141  5.25              4.80              
Pavarde5317659  Vardas8834481  4.22              4.00              
Pavarde5331841  Vardas5059713  3.75              4.00              
Pavarde5345040  Vardas4147724  5.07              4.40              
Pavarde5390711  Vardas9658378  3.80              4.20              
Pavarde5408250  Vardas9933783  4.16              4.60              
Pavarde5414828  Vardas4728700  2.80              2.80              
Pavarde5430642  Vardas8499144  4.30              4.20              
Pavarde5435297  Vardas8831574  4.22              4.00              
Pavarde5436266  Vardas5794496  3.52              3.80              
Pavarde5437477  Vardas9127119  3.22              2.80              
Pavarde545769   Vardas2871693  3.80              3.00              
Pavarde5476442  Vardas553298   3.63              3.60              
Pavarde5483506  Vardas5030250  4.18              4.20              
Pavarde5517922  Vardas6493681  3.20              3.20              
Pavarde5519230  Vardas3151347  4.80              4.80              
Pavarde5522750  Vardas3578     4.69              4.80              
Pavarde5530866  Vardas2358100  3.13              3.00              
Pavarde5570495  Vardas2915817  4.76              4.60              
Pavarde5597     Vardas2214002  4.07              3.80              
Pavarde5668788  Vardas4202365  3.14              3.20              
Pavarde5680705  Vardas832886   1.80              1.80              
Pavarde5695350  Vardas9011855  1.80              1.80              
Pavarde5721125  Vardas6526187  3.87              4.40              
Pavarde5722985  Vardas7406388  3.93              4.00              
Pavarde5741413  Vardas9027955  3.67              3.60              
Pavarde5743020  Vardas2432333  4.35              4.00              
Pavarde5755876  Vardas4113150  3.76              3.80              
Pavarde5796527  Vardas7599113  5.03              4.60              
Pavarde5810503  Vardas2511962  2.73              3.00              
Pavarde5820047  Vardas5735575  4.40              4.40              
Pavarde5825432  Vardas4063469  4.66              4.80              
Pavarde5851644  Vardas9202207  4.27              4.20              
Pavarde5851978  Vardas5535631  4.59              4.40              
Pavarde5913508  Vardas7880824  2.58              2.60              
Pavarde5927182  Vardas518205   4.87              4.80              
Pavarde5968714  Vardas6535320  2.55              2.40              
Pavarde5977348  Vardas366871   1.40              1.40              
Pavarde5980182  Vardas2191912  4.80              4.80              
Pavarde603894   Vardas7835692  4.10              4.00              
Pavarde6044219  Vardas586314   2.55              2.60              
Pavarde6092179  Vardas2638373  2.82              3.00              
Pavarde6102134  Vardas1528611  4.88              4.80              
Pavarde6120938  Vardas5084867  4.72              4.20              
Pavarde6121322  Vardas3222503  2.74              2.80              
Pavarde6137782  Vardas7597978  3.92              3.40              
Pavarde6151462  Vardas7081164  3.98              3.80              
Pavarde6167954  Vardas7603049  3.35              3.20              
Pavarde6193067  Vardas5911997  2.84              2.80              
Pavarde6196086  Vardas9341157  5.15              4.80              
Pavarde6221384  Vardas5357074  3.49              3.40              
Pavarde6244980  Vardas2951318  3.37              3.80              
Pavarde6261306  Vardas1455623  3.73              3.60              
Pavarde628066   Vardas5076075  3.12              3.00              
Pavarde6283186  Vardas6993421  2.86              3.00              
Pavarde6289906  Vardas3073501  2.60              2.60              
Pavarde6307811  Vardas3492530  4.10              4.20              
Pavarde6377502  Vardas3695991  4.20              4.20              
Pavarde6379001  Vardas1640107  4.51              4.80              
Pavarde6381560  Vardas1098686  3.16              3.60              
Pavarde6384712  Vardas4857935  4.07              4.20              
Pavarde6388017  Vardas8429617  2.71              1.80              
Pavarde6421691  Vardas3493952  4.40              4.40              
Pavarde6472625  Vardas3740077  3.70              4.00              
Pavarde6537157  Vardas240247   4.17              4.20              
Pavarde6555378  Vardas5610034  2.73              3.00              
Pavarde6555842  Vardas9095614  4.67              4.80              
Pavarde6590130  Vardas311849   3.00              3.20              
Pavarde6683371  Vardas5949316  3.20              3.20              
Pavarde6694311  Vardas2067314  3.17              2.80              
Pavarde6696551  Vardas7978689  3.71              4.00              
Pavarde6701136  Vardas2058715  2.31              2.60              
Pavarde6729731  Vardas9228659  3.60              3.60              
Pavarde6750714  Vardas6347610  3.70              3.60              
Pavarde6755721  Vardas5356903  3.24              2.80              
Pavarde6774965  Vardas1055088  2.80              2.80              
Pavarde6812071  Vardas9916634  3.73              3.60              
Pavarde683095   Vardas9808007  4.09              4.60              
Pavarde6841548  Vardas3630716  2.52              2.60              
Pavarde6883424  Vardas7486482  2.66              3.00              
Pavarde6952483  Vardas6879086  3.12              2.80              
Pavarde699185   Vardas3439424  3.12              3.20              
Pavarde7000138  Vardas988055   2.84              2.80              
Pavarde7029123  Vardas937658   2.69              3.00              
Pavarde7054606  Vardas8852273  4.33              4.40              
Pavarde7078269  Vardas5019670  4.64              4.60              
Pavarde7103115  Vardas2660717  3.07              2.80              
Pavarde7140840  Vardas7781301  4.46              4.40              
Pavarde717761   Vardas9452134  4.40              4.20              
Pavarde72191    Vardas956497   4.49              4.40              
Pavarde7267931  Vardas8863562  3.40              3.40              
Pavarde7278345  Vardas103150   5.47              4.80              
Pavarde7296151  Vardas2748900  2.73              2.60              
Pavarde7299475  Vardas2346629  2.58              3.00              
Pavarde7314230  Vardas7976672  4.59              4.80              
Pavarde7339637  Vardas179171   4.97              4.80              
Pavarde7364188  Vardas9878458  3.46              3.60              
Pavarde7365446  Vardas4558678  2.71              2.60              
Pavarde7383556  Vardas6881111  2.98              3.00              
Pavarde7393716  Vardas3739545  2.85              2.60              
Pavarde7410136  Vardas3444402  3.80              3.80              
Pavarde7464837  Vardas463651   4.96              4.80              
Pavarde7561208  Vardas3359127  3.03              3.00              
Pavarde7562010  Vardas9050885  2.92              3.40              
Pavarde7571730  Vardas2524155  4.57              4.80              
Pavarde759093   Vardas556533   3.60              3.60              
Pavarde7630964  Vardas5956018  4.69              4.80              
Pavarde7688728  Vardas2852692  2.27              2.40              
Pavarde7711003  Vardas6441283  4.02              3.80              
Pavarde7749448  Vardas5058492  4.38              4.00              
Pavarde7782427  Vardas3265193  2.47              2.60              
Pavarde779035   Vardas2135572  4.48              4.40              
Pavarde7848349  Vardas1088752  3.40              3.20              
Pavarde785366   Vardas7347151  4.54              4.60              
Pavarde7881500  Vardas8602322  3.80              3.60              
Pavarde7886581  Vardas2504342  4.88              4.60              
Pavarde7891872  Vardas9886099  2.80              2.80              
Pavarde7908954  Vardas4523071  3.41              3.60              
Pavarde7934764  Vardas5839052  4.05              4.20              
Pavarde7949279  Vardas7906087  3.44              3.60              
Pavarde7982038  Vardas904254   3.06              3.00              
Pavarde8030398  Vardas3257654  4.10              3.80              
Pavarde8035332  Vardas9200677  2.72              3.00              
Pavarde8036856  Vardas4429092  3.35              3.00              
Pavarde8041916  Vardas1138181  4.47              4.20              
Pavarde8066120  Vardas7506797  1.40              1.40              
Pavarde8105123  Vardas7094504  4.18              4.00              
Pavarde8163844  Vardas7907054  3.71              3.60              
Pavarde8177919  Vardas7750649  4.10              4.40              
Pavarde8204947  Vardas3774636  3.53              3.60              
Pavarde8214943  Vardas2712842  3.56              3.80              
Pavarde8216989  Vardas1130292  3.00              2.60              
Pavarde8232370  Vardas5049471  4.66              4.80              
Pavarde8232400  Vardas8835335  3.60              3.60              
Pavarde8241427  Vardas3760103  2.26              2.20              
Pavarde825954   Vardas152959   3.54              3.60              
Pavarde8260882  Vardas8143838  3.40              3.60              
Pavarde827295   Vardas8523733  3.80              3.80              
Pavarde8280451  Vardas4356004  3.09              2.80              
Pavarde8285147  Vardas5279679  3.18              3.40              
Pavarde8355519  Vardas7585940  3.60              3.40              
Pavarde8357691  Vardas2128718  3.68              4.00              
Pavarde8435088  Vardas7996775  3.05              3.00              
Pavarde8443992  Vardas3224225  3.35              2.80              
Pavarde8464075  Vardas1190546  4.16              4.00              
Pavarde847199   Vardas8017037  4.27              4.00              
Pavarde8475301  Vardas8785707  2.09              2.20              
Pavarde8496137  Vardas6544291  3.72              4.00              
Pavarde8560762  Vardas332777   2.32              2.20              
Pavarde8573350  Vardas6375489  3.40              3.60              
Pavarde8573958  Vardas5359474  2.68              2.20              
Pavarde8605477  Vardas8372920  4.16              4.20              
Pavarde8652775  Vardas5133120  3.89              4.20              
Pavarde8662     Vardas1600250  4.20              4.20              
Pavarde8701735  Vardas8482772  3.08              2.60              
Pavarde8797607  Vardas9286215  2.96              2.80              
Pavarde8832882  Vardas9472207  3.60              4.00              
Pavarde8855638  Vardas759443   4.08              4.40              
Pavarde8863140  Vardas1196412  3.27              3.60              
Pavarde8874601  Vardas5117208  3.41              3.60              
Pavarde8878667  Vardas7294576  3.80              3.80              
Pavarde8970972  Vardas7709739  2.60              2.60              
Pavarde9070211  Vardas5099299  3.64              3.40              
Pavarde907968   Vardas635512   3.27              3.40              
Pavarde9131532  Vardas8623651  2.90              2.80              
Pavarde9145670  Vardas3004216  3.05              2.80              
Pavarde915969   Vardas25522    4.24              4.20              
Pavarde9207312  Vardas1602549  4.52              4.60              
Pavarde9240364  Vardas754808   3.47              3.60              
Pavarde9255640  Vardas9902258  2.60              2.80              
Pavarde9288371  Vardas3246963  4.47              4.60              
Pavarde9302453  Vardas3139165  2.28              2.20              
Pavarde9329754  Vardas6986945  3.80              3.60              
Pavarde939512   Vardas2953424  3.52              3.60              
Pavarde9420298  Vardas1124183  4.00              4.00              
Pavarde9444694  Vardas7615545  4.32              4.80              
Pavarde9474744  Vardas2279680  4.80              4.00              
Pavarde9485060  Vardas8180617  3.29              3.20              
Pavarde9486599  Vardas3441390  2.80              2.00              
Pavarde9499813  Vardas464420   4.23              3.60              
Pavarde9532326  Vardas8083366  3.20              3.20              
Pavarde9549670  Vardas8868081  3.42              3.40              
Pavarde9554789  Vardas8415620  4.20              4.60              
Pavarde9580258  Vardas7677465  3.00              3.00              
Pavarde9618898  Vardas233789   2.98              3.00              
Pavarde9662483  Vardas3731478  2.88              3.20              
Pavarde969111   Vardas3646864  3.16              3.60              
Pavarde972772   Vardas3892046  2.62              2.60              
Pavarde9756032  Vardas5716224  3.89              3.80              
Pavarde9756283  Vardas2596836  3.80              4.00              
Pavarde9813467  Vardas8333394  3.70              3.60              
Pavarde9818538  Vardas2105723  3.73              3.40              
Pavarde9882077  Vardas9724360  3.56              3.20              
Pavarde9889173  Vardas9035408  4.27              3.60              
Pavarde9895874  Vardas1514634  2.67              2.20              
Pavarde9903773  Vardas6368416  2.00              2.00              
Pavarde9911239  Vardas7927940  3.97              3.60              
Pavarde9944779  Vardas818258   4.37              4.00              
Pavarde996979   Vardas9814389  4.00              4.20              
Pavarde9977359  Vardas9110748  4.20              4.20              
