Pavarde         Vardas         Galutinis (Vid.)  Galutinis (Med.)
Pavarde2452012  Vardas28353    6.27              6.40              
Pavarde2452090  Vardas2351169  7.25              7.20              
Pavarde2454025  Vardas9613512  4.83              5.00              
Pavarde2458499  Vardas6702079  6.76              7.00              
Pavarde247864   Vardas1488483  6.86              7.20              
Pavarde2491565  Vardas8033128  6.80              6.80              
Pavarde2493990  Vardas2204603  5.91              5.80              
Pavarde2510642  Vardas9612371  5.75              6.20              
Pavarde2540746  Vardas7177971  8.07              8.00              
Pavarde2544866  Vardas303718   7.08              7.00              
Pavarde2557546  Vardas2255640  5.80              6.00              
Pavarde2569327  Vardas1905308  6.00              6.40              
Pavarde2570481  Vardas605036   5.43              5.80              
Pavarde2579299  Vardas3088686  6.34              6.00              
Pavarde2584232  Vardas6597538  7.80              7.40              
Pavarde2587576  Vardas3245401  5.48              5.20              
Pavarde2596585  Vardas5453658  6.44              6.20              
Pavarde2631667  Vardas6429149  7.65              7.40              
Pavarde2633367  Vardas2778590  5.20              5.20              
Pavarde265171   Vardas7135956  7.56              7.20              
Pavarde2653833  Vardas3250861  5.40              5.40              
Pavarde2660394  Vardas6549914  6.60              6.20              
Pavarde2660461  Vardas8016222  5.97              6.00              
Pavarde2662227  Vardas590939   9.20              9.20              
Pavarde2670869  Vardas8532238  8.57              8.40              
Pavarde2717327  Vardas5810021  7.30              7.20              
Pavarde2738279  Vardas7345532  7.60              7.60              
Pavarde2745655  Vardas7723983  8.30              8.40              
Pavarde2746254  Vardas6049442  8.44              8.80              
Pavarde2768676  Vardas5968459  5.58              5.60              
Pavarde2770244  Vardas902799   5.20              5.20              
Pavarde2792082  Vardas9492412  5.20              5.00              
Pavarde2803126  Vardas5931332  7.20              7.20              
Pavarde2819205  Vardas118535   8.24              8.40              
Pavarde282209   Vardas6993161  6.15              6.00              
Pavarde2866237  Vardas7440422  8.17              8.40              
Pavarde2870151  Vardas8447301  5.13              5.00              
Pavarde2896493  Vardas6705909  7.70              7.80              
Pavarde2933526  Vardas2569889  5.09              5.00              
Pavarde2948905  Vardas2924709  7.56              8.00              
Pavarde2954544  Vardas9392220  7.60              7.60              
Pavarde2955226  Vardas2399770  6.60              6.40              
Pavarde2965214  Vardas2556555  5.31              5.60              
Pavarde2970635  Vardas5038706  7.76              7.80              
Pavarde2980466  Vardas3003780  5.62              5.20              
Pavarde2982047  Vardas6380628  7.22              7.40              
Pavarde3004018  Vardas4590757  5.93              5.80              
Pavarde3016894  Vardas8158044  5.92              5.80              
Pavarde3023575  Vardas1894211  8.06              8.40              
Pavarde3028687  Vardas3725047  7.18              7.00              
Pavarde3041029  Vardas3881083  8.53              8.80              
Pavarde3058944  Vardas3669842  7.02              7.20              
Pavarde3087289  Vardas4685482  6.20              6.20              
Pavarde3089515  Vardas682931   7.96              8.60              
Pavarde3120472  Vardas9698795  7.87              7.80              
Pavarde3130571  Vardas6077190  6.60              6.60              
Pavarde3134247  Vardas1965445  7.10              7.20              
Pavarde3143782  Vardas7894307  6.27              6.20              
Pavarde3164612  Vardas983100   5.40              5.40              
Pavarde3166371  Vardas213863   6.00              6.00              
Pavarde3175608  Vardas9560312  6.63              6.80              
Pavarde3190660  Vardas8657700  7.90              8.40              
Pavarde3211524  Vardas4228279  6.20              6.20              
Pavarde3252329  Vardas5955463  6.40              6.40              
Pavarde3260200  Vardas2574038  4.37              5.00              
Pavarde326896   Vardas7423321  7.55              7.80              
Pavarde3295051  Vardas4547999  7.67              7.80              
Pavarde3304802  Vardas9993860  6.01              6.20              
Pavarde331139   Vardas9373429  5.91              5.60              
Pavarde3331609  Vardas7342014  8.40              8.60              
Pavarde3337097  Vardas5011940  5.35              5.40              
Pavarde3345265  Vardas3216331  5.30              5.20              
Pavarde3350186  Vardas7966634  8.02              8.00              
Pavarde3351805  Vardas5613264  7.27              7.20              
Pavarde3353825  Vardas5314117  7.58              7.80              
Pavarde3369035  Vardas987819   6.88              7.00              
Pavarde3375553  Vardas3500221  7.55              7.80              
Pavarde3378976  Vardas1568102  6.70              6.80              
Pavarde338740   Vardas1789400  7.73              8.00              
Pavarde3399097  Vardas2874653  5.80              5.80              
Pavarde3407484  Vardas2906549  6.96              7.20              
Pavarde342474   Vardas2609152  5.00              5.00              
Pavarde3447707  Vardas6351259  6.60              6.60              
Pavarde3475849  Vardas6341649  6.00              6.00              
Pavarde3495541  Vardas3376132  7.15              7.00              
Pavarde3497177  Vardas7332674  6.54              6.20              
Pavarde3500330  Vardas9724237  7.72              8.20              
Pavarde3512736  Vardas3032134  5.49              6.20              
Pavarde3567059  Vardas9813245  5.42              5.40              
Pavarde3583422  Vardas5768440  5.00              5.00              
Pavarde3583740  Vardas1193247  8.00              7.80              
Pavarde359303   Vardas9809787  7.67              7.40              
Pavarde3594480  Vardas5135704  7.60              7.60              
Pavarde3602776  Vardas3783108  8.20              8.00              
Pavarde3651167  Vardas2181233  4.32              5.00              
Pavarde3688132  Vardas1740366  7.14              6.80              
Pavarde3699142  Vardas2623750  7.28              7.20              
Pavarde3705718  Vardas142143   6.73              6.60              
Pavarde3728581  Vardas4142337  5.00              5.00              
Pavarde3741370  Vardas9365069  6.27              5.60              
Pavarde3758392  Vardas8808313  8.26              8.40              
Pavarde3790149  Vardas1868534  5.74              5.80              
Pavarde3795314  Vardas6265254  6.11              6.40              
Pavarde3834101  Vardas9166197  7.40              7.00              
Pavarde3837641  Vardas3202834  7.92              7.80              
Pavarde3842894  Vardas6965233  6.53              6.40              
Pavarde3854922  Vardas7538727  5.27              5.00              
Pavarde3873235  Vardas1278255  5.30              5.20              
Pavarde3877344  Vardas7629609  8.35              8.60              
Pavarde3891567  Vardas8538289  5.20              5.60              
Pavarde3900261  Vardas7350368  5.19              5.00              
Pavarde3909269  Vardas2271917  7.63              7.80              
Pavarde3929259  Vardas1891678  5.64              5.80              
Pavarde3935681  Vardas9835502  6.78              6.80              
Pavarde3946124  Vardas4960468  5.00              5.00              
Pavarde3992710  Vardas6351040  5.10              5.40              
Pavarde3994614  Vardas1297957  5.49              5.80              
Pavarde4020158  Vardas9685782  5.17              5.40              
Pavarde4057928  Vardas2238806  4.76              5.20              
Pavarde4059138  Vardas733890   7.62              7.80              
Pavarde4098488  Vardas3258816  8.11              8.00              
Pavarde4117198  Vardas9272441  6.60              6.60              
Pavarde4158935  Vardas3592052  7.76              7.40              
Pavarde4187372  Vardas5985871  6.45              6.40              
Pavarde4190590  Vardas8404501  7.07              7.00              
Pavarde4198851  Vardas7818233  8.09              8.80              
Pavarde4207662  Vardas957153   7.98              8.00              
Pavarde4272107  Vardas3259145  7.80              8.00              
Pavarde4280834  Vardas7394052  5.97              5.60              
Pavarde4321981  Vardas2114004  8.06              8.00              
Pavarde4337195  Vardas8947076  6.80              6.80              
Pavarde434884   Vardas8178040  8.25              8.00              
Pavarde4363535  Vardas7806544  5.38              5.00              
Pavarde4377742  Vardas9304343  7.60              7.60              
Pavarde4405238  Vardas3080817  5.06              5.00              
Pavarde4420988  Vardas4518632  5.96              6.00              
Pavarde4421697  Vardas9641381  4.80              5.60              
Pavarde4534801  Vardas3382721  8.40              8.80              
Pavarde4552820  Vardas2811816  5.96              6.20              
Pavarde4585478  Vardas2683047  8.47              8.80              
Pavarde4595001  Vardas7489744  5.60              5.60              
Pavarde4601473  Vardas5112948  5.77              5.60              
Pavarde4604407  Vardas6567050  5.26              5.60              
Pavarde4623288  Vardas9576274  5.60              5.60              
Pavarde4645332  Vardas5575128  7.90              7.80              
Pavarde4662419  Vardas3062091  5.78              5.60              
Pavarde4718923  Vardas4371836  8.08              8.40              
Pavarde4747701  Vardas508235   5.66              6.00              
Pavarde4762684  Vardas6229986  7.04              6.80              
Pavarde4769687  Vardas5224802  6.60              6.60              
Pavarde4775642  Vardas9753072  7.80              7.80              
Pavarde4795564  Vardas586961   7.17              7.60              
Pavarde4810917  Vardas2168633  6.93              7.20              
Pavarde4826516  Vardas8956062  7.00              7.00              
Pavarde4850341  Vardas7825783  7.17              7.20              
Pavarde4881075  Vardas7748190  7.80              8.40              
Pavarde4942172  Vardas5822802  7.40              7.60              
Pavarde494666   Vardas2848507  4.72              5.20              
Pavarde4955460  Vardas7114292  5.80              5.80              
Pavarde4955595  Vardas5456566  6.00              6.00              
Pavarde4962318  Vardas9386103  6.98              7.20              
Pavarde4974909  Vardas2034121  6.64              7.00              
Pavarde498012   Vardas8877732  7.50              7.40              
Pavarde5041489  Vardas9896828  5.70              5.80              
Pavarde5047390  Vardas3022392  5.80              6.20              
Pavarde5056744  Vardas2854145  7.27              7.60              
Pavarde5087889  Vardas961141   6.20              6.20              
Pavarde5099378  Vardas8054201  7.40              7.20              
Pavarde5106362  Vardas472329   6.74              7.00              
Pavarde5107998  Vardas8112287  5.75              5.80              
Pavarde5123956  Vardas5362516  6.52              6.80              
Pavarde5124613  Vardas5143521  6.44              6.00              
Pavarde520132   Vardas2859545  7.20              7.60              
Pavarde5203256  Vardas8565645  5.81              6.40              
Pavarde5209140  Vardas129251   5.76              5.00              
Pavarde5214722  Vardas2340294  6.60              7.00              
Pavarde5219207  Vardas2691761  6.11              6.00              
Pavarde5246886  Vardas5328173  5.20              5.20              
Pavarde525543   Vardas521771   8.25              8.20              
Pavarde5286004  Vardas5954898  7.87              8.20              
Pavarde5287194  Vardas6732379  5.56              5.40              
Pavarde5288836  Vardas9217452  8.69              9.20              
Pavarde5290519  Vardas7128861  7.82              7.20              
Pavarde529283   Vardas6811051  7.40              7.40              
Pavarde5314415  Vardas6948375  5.11              5.00              
Pavarde5343599  Vardas1951876  7.05              6.80              
Pavarde536450   Vardas8384187  5.87              5.60              
Pavarde5365099  Vardas55011    7.11              6.80              
Pavarde5374995  Vardas5583508  4.71              5.00              
Pavarde5392955  Vardas871499   7.87              7.60              
Pavarde5396892  Vardas4178220  5.69              5.60              
Pavarde540273   Vardas9216572  5.38              5.00              
Pavarde5427184  Vardas573023   6.30              6.20              
Pavarde5445370  Vardas6850257  5.87              6.00              
Pavarde5473527  Vardas4890944  5.56              5.20              
Pavarde5522907  Vardas6130492  4.87              5.60              
Pavarde5543514  Vardas4165850  6.48              6.20              
Pavarde5573556  Vardas3344268  8.04              7.80              
Pavarde5591057  Vardas1526997  4.96              5.00              
Pavarde5594149  Vardas7477454  7.23              7.40              
Pavarde5594172  Vardas9677764  7.78              7.40              
Pavarde5635096  Vardas7146885  6.55              6.60              
Pavarde5640901  Vardas1725082  6.48              6.60              
Pavarde5673644  Vardas5294955  6.83              6.40              
Pavarde569182   Vardas7951089  5.86              5.40              
Pavarde5698059  Vardas6343620  6.64              6.60              
Pavarde5727102  Vardas7904993  6.35              6.60              
Pavarde574431   Vardas1582525  7.00              7.00              
Pavarde574562   Vardas7468682  7.22              7.00              
Pavarde5783684  Vardas1566853  7.87              7.60              
Pavarde5793574  Vardas4155644  8.20              8.60              
Pavarde5812385  Vardas1980528  7.91              8.20              
Pavarde5843723  Vardas3328612  7.13              7.20              
Pavarde5875503  Vardas2011187  4.97              5.00              
Pavarde5887367  Vardas3988751  6.68              6.60              
Pavarde589745   Vardas9667352  5.27              5.40              
Pavarde5909940  Vardas3107451  7.27              7.00              
Pavarde5935461  Vardas2933137  5.04              5.20              
Pavarde5945594  Vardas2327037  5.85              6.20              
Pavarde5953693  Vardas1777287  4.92              5.20              
Pavarde596305   Vardas1894994  7.44              7.60              
Pavarde5985260  Vardas3571873  7.49              7.40              
Pavarde5996612  Vardas3201374  8.36              8.40              
Pavarde6001323  Vardas618819   6.59              6.00              
Pavarde6004460  Vardas3980593  5.96              6.20              
Pavarde6007437  Vardas6391795  4.68              5.00              
Pavarde6008351  Vardas7859068  6.90              6.80              
Pavarde6018716  Vardas4563764  7.68              7.40              
Pavarde6033756  Vardas9023181  6.40              6.60              
Pavarde6035117  Vardas757554   7.56              7.60              
Pavarde6053735  Vardas2748626  8.48              8.40              
Pavarde6057911  Vardas7153391  7.26              7.00              
Pavarde6059338  Vardas9839156  6.85              6.60              
Pavarde6090845  Vardas5028747  6.11              5.80              
Pavarde6116655  Vardas6816024  8.15              8.40              
Pavarde6171901  Vardas6192412  8.32              8.20              
Pavarde617272   Vardas539638   6.53              6.00              
Pavarde6187030  Vardas4204728  7.80              7.80              
Pavarde6227865  Vardas961203   7.07              7.60              
Pavarde6233149  Vardas1097119  7.02              6.80              
Pavarde6250947  Vardas7729353  5.12              5.00              
Pavarde6255911  Vardas2316652  8.48              8.80              
Pavarde6264997  Vardas893624   7.13              6.60              
Pavarde6308995  Vardas5414260  5.70              5.40              
Pavarde6309257  Vardas6746240  5.47              5.80              
Pavarde6318072  Vardas79780    7.20              7.20              
Pavarde6329572  Vardas1831861  6.77              6.80              
Pavarde6332398  Vardas8718502  4.80              5.20              
Pavarde633594   Vardas4904777  5.89              6.00              
Pavarde6341532  Vardas4732152  6.08              6.00              
Pavarde6347724  Vardas8273498  7.40              7.40              
Pavarde6357699  Vardas5548611  7.48              7.00              
Pavarde6365588  Vardas1687070  5.88              6.40              
Pavarde6409259  Vardas2119006  6.35              6.40              
Pavarde6433458  Vardas7344015  7.53              8.00              
Pavarde6434501  Vardas7057303  7.07              7.20              
Pavarde646319   Vardas246138   5.80              5.60              
Pavarde647573   Vardas1316686  6.51              6.20              
Pavarde6481268  Vardas2658192  7.25              7.40              
Pavarde6529293  Vardas5784412  7.81              7.60              
Pavarde6537101  Vardas2643624  6.10              5.80              
Pavarde6541165  Vardas4690975  5.56              5.20              
Pavarde6577495  Vardas9675103  5.22              5.40              
Pavarde6591462  Vardas5045591  5.80              5.80              
Pavarde6594537  Vardas9177733  4.75              5.00              
Pavarde6604563  Vardas8708338  4.20              5.00              
Pavarde6609688  Vardas1028488  6.60              6.20              
Pavarde6646485  Vardas8265736  5.97              6.40              
Pavarde6652495  Vardas2023100  5.08              5.00              
Pavarde6656945  Vardas5845540  8.03              7.80              
Pavarde6672991  Vardas1587156  5.28              5.60              
Pavarde6726157  Vardas9803985  8.19              8.00              
Pavarde6734228  Vardas4778230  8.84              9.00              
Pavarde6736188  Vardas3267188  7.96              8.00              
Pavarde6784858  Vardas727096   8.13              8.00              
Pavarde6799913  Vardas667861   7.05              6.80              
Pavarde6812940  Vardas1101922  5.13              5.40              
Pavarde6845190  Vardas6514890  5.53              5.80              
Pavarde6850729  Vardas1319090  5.11              5.40              
Pavarde685760   Vardas1469621  5.40              5.40              
Pavarde6872850  Vardas555958   5.16              5.00              
Pavarde6922067  Vardas7645542  5.00              5.00              
Pavarde6924783  Vardas8290353  6.60              6.60              
Pavarde6927479  Vardas132217   5.00              5.20              
Pavarde6929995  Vardas6123865  7.58              7.40              
Pavarde6931574  Vardas5627337  6.40              6.40              
Pavarde6934034  Vardas6435225  7.02              7.40              
Pavarde6959019  Vardas7474696  6.35              6.60              
Pavarde6959449  Vardas9638389  7.10              7.80              
Pavarde6966220  Vardas548880   6.40              6.20              
Pavarde6966510  Vardas9247817  5.68              5.80              
Pavarde7013730  Vardas7346932  5.60              6.00              
Pavarde7029360  Vardas2910372  5.84              6.00              
Pavarde7060269  Vardas6336635  6.20              6.20              
Pavarde7062860  Vardas307131   6.29              6.60              
Pavarde7063288  Vardas4886994  8.01              8.20              
Pavarde7068875  Vardas6260191  8.20              8.60              
Pavarde7070645  Vardas5849374  8.40              8.80              
Pavarde7072264  Vardas570003   8.00              8.00              
Pavarde7092783  Vardas1015567  5.48              5.60              
Pavarde7129283  Vardas67519    6.17              6.00              
Pavarde7132280  Vardas7047987  7.02              7.20              
Pavarde7149657  Vardas536732   6.60              6.40              
Pavarde717201   Vardas148931   5.75              5.60              
Pavarde7172508  Vardas7588419  5.69              5.60              
Pavarde7195704  Vardas1349895  8.45              8.80              
Pavarde7235212  Vardas7808596  8.13              7.60              
Pavarde7268336  Vardas3384713  6.92              6.80              
Pavarde7270902  Vardas3487002  7.43              7.40              
Pavarde7276308  Vardas5828516  6.68              6.20              
Pavarde7281092  Vardas520904   6.74              7.00              
Pavarde7296494  Vardas3825934  6.40              6.40              
Pavarde7307749  Vardas9617459  7.02              7.00              
Pavarde7356818  Vardas1766820  5.20              5.20              
Pavarde7357366  Vardas4870608  8.10              8.20              
Pavarde7358888  Vardas5100367  7.30              7.20              
Pavarde7368519  Vardas8333548  7.50              7.60              
Pavarde7380396  Vardas2371308  7.40              8.00              
Pavarde7391510  Vardas7560007  5.40              5.20              
Pavarde7407297  Vardas6939291  9.20              9.20              
Pavarde741865   Vardas5750721  7.33              7.40              
Pavarde7419243  Vardas3821339  7.05              7.60              
Pavarde7425456  Vardas402999   6.40              6.20              
Pavarde748702   Vardas5418201  5.40              5.40              
Pavarde7490544  Vardas6871205  8.67              8.80              
Pavarde7502112  Vardas5068736  7.68              8.00              
Pavarde7510767  Vardas5619586  7.44              7.40              
Pavarde7548716  Vardas3885498  6.32              6.40              
Pavarde7551186  Vardas5468232  6.22              6.40              
Pavarde7552083  Vardas9003885  5.55              5.20              
Pavarde7557297  Vardas2401623  5.29              5.20              
Pavarde7566821  Vardas5738514  6.13              6.40              
Pavarde7571274  Vardas2562670  6.27              6.20              
Pavarde7574794  Vardas1831052  8.51              8.80              
Pavarde757801   Vardas6518202  6.95              7.20              
Pavarde7589835  Vardas4862934  8.20              8.20              
Pavarde759287   Vardas9479969  9.20              9.20              
Pavarde7597269  Vardas8291340  7.40              7.40              
Pavarde7629261  Vardas4648369  8.12              8.20              
Pavarde7643538  Vardas5394902  5.46              5.40              
Pavarde7644481  Vardas8187460  7.07              7.60              
Pavarde7647746  Vardas9217112  7.13              7.20              
Pavarde7657330  Vardas8288925  6.71              7.00              
Pavarde7688246  Vardas5931650  5.44              5.40              
Pavarde7704204  Vardas6643872  8.28              8.40              
Pavarde770632   Vardas5535736  7.02              7.20              
Pavarde7717786  Vardas7000381  6.88              6.40              
Pavarde7724016  Vardas9035992  6.13              5.80              
Pavarde774435   Vardas4356373  5.92              6.00              
Pavarde7748719  Vardas8086328  5.81              5.60              
Pavarde7770464  Vardas220609   5.63              5.40              
Pavarde779397   Vardas5937445  5.27              5.00              
Pavarde7802971  Vardas2336402  6.40              6.40              
Pavarde7825478  Vardas1724534  8.14              8.40              
Pavarde7876712  Vardas3113916  7.60              7.60              
Pavarde7877014  Vardas5255222  5.94              6.00              
Pavarde7886477  Vardas230919   4.77              5.20              
Pavarde7914629  Vardas3972953  8.00              8.00              
Pavarde7916103  Vardas8226517  6.00              6.00              
Pavarde7929348  Vardas7590572  6.00              6.20              
Pavarde7949124  Vardas3140746  5.90              6.00              
Pavarde7949862  Vardas9644138  6.20              6.20              
Pavarde7951497  Vardas5243426  5.91              6.00              
Pavarde7990897  Vardas2214441  6.28              6.00              
Pavarde80078    Vardas1166119  7.00              7.00              
Pavarde8010528  Vardas9591866  5.51              5.60              
Pavarde8011194  Vardas4549299  7.49              7.80              
Pavarde8029516  Vardas3460247  5.40              5.40              
Pavarde8032350  Vardas8807491  6.07              6.00              
Pavarde8042161  Vardas2945593  6.40              6.40              
Pavarde8059490  Vardas7588814  8.12              8.40              
Pavarde8075518  Vardas7745818  7.33              7.20              
Pavarde8078867  Vardas119401   8.11              8.40              
Pavarde8093930  Vardas1687209  5.80              6.00              
Pavarde8101084  Vardas4450792  7.11              7.20              
Pavarde8102032  Vardas8997192  8.11              8.00              
Pavarde8116574  Vardas2231249  6.03              6.40              
Pavarde81239    Vardas923377   5.95              6.00              
Pavarde8130521  Vardas3096128  8.08              8.00              
Pavarde81466    Vardas4669735  7.40              7.40              
Pavarde8151641  Vardas1264273  8.62              8.40              
Pavarde8152544  Vardas2104327  6.80              6.80              
Pavarde8159971  Vardas5037683  6.58              6.60              
Pavarde8165824  Vardas1788192  7.41              8.00              
Pavarde8179420  Vardas845708   5.10              5.20              
Pavarde817955   Vardas6193308  6.82              7.00              
Pavarde8189611  Vardas9796409  8.13              8.00              
Pavarde8196737  Vardas3100602  5.40              5.40              
Pavarde8207594  Vardas2227056  6.20              5.80              
Pavarde8208160  Vardas5512099  8.28              8.40              
Pavarde8222357  Vardas6026867  7.72              8.20              
Pavarde8228799  Vardas8354029  6.17              6.40              
Pavarde8289801  Vardas345452   5.80              6.20              
Pavarde8323670  Vardas8194267  7.86              7.40              
Pavarde8325044  Vardas1735114  5.20              5.20              
Pavarde8327578  Vardas6678366  6.67              6.60              
Pavarde8349744  Vardas3210728  8.07              8.20              
Pavarde8367567  Vardas2568902  7.82              7.20              
Pavarde837591   Vardas2562482  7.20              7.20              
Pavarde8379035  Vardas8999356  5.70              5.60              
Pavarde8406512  Vardas1941957  4.66              5.40              
Pavarde8500765  Vardas7062810  7.20              7.20              
Pavarde8560615  Vardas7194908  5.47              5.20              
Pavarde8571276  Vardas3078817  7.44              7.80              
Pavarde8577730  Vardas8914841  7.57              7.80              
Pavarde8589209  Vardas9946995  8.80              9.00              
Pavarde8627902  Vardas991049   6.56              6.40              
Pavarde8640924  Vardas230098   6.85              7.00              
Pavarde8670054  Vardas2540368  5.57              5.80              
Pavarde8697533  Vardas9940781  5.13              5.00              
Pavarde8705911  Vardas5168940  8.84              9.20              
Pavarde8710627  Vardas2453170  5.10              5.00              
Pavarde8724756  Vardas2148136  7.68              7.40              
Pavarde8737862  Vardas9281585  6.00              6.00              
Pavarde8743951  Vardas4710129  5.98              5.40              
Pavarde8766116  Vardas9856979  5.42              5.40              
Pavarde8782474  Vardas3387421  5.31              5.40              
Pavarde8783733  Vardas133029   7.95              7.60              
Pavarde8795991  Vardas1537773  5.60              5.60              
Pavarde8813944  Vardas9436564  7.60              7.60              
Pavarde8838407  Vardas5670038  6.55              6.80              
Pavarde884415   Vardas5130375  7.94              8.00              
Pavarde8845837  Vardas3456813  7.20              7.20              
Pavarde8856049  Vardas781709   6.20              6.40              
Pavarde8884329  Vardas3813869  5.06              5.40              
Pavarde8893152  Vardas9907843  6.39              6.60              
Pavarde8901096  Vardas5685563  7.25              7.60              
Pavarde8904934  Vardas5579555  5.51              5.60              
Pavarde891671   Vardas6122562  6.09              6.40              
Pavarde895889   Vardas1949675  5.54              5.60              
Pavarde8961278  Vardas8784801  6.27              6.00              
Pavarde8975404  Vardas9551120  6.57              6.20              
Pavarde8976170  Vardas5973443  8.00              7.80              
Pavarde9002616  Vardas129366   7.80              7.40              
Pavarde9015997  Vardas2677568  4.96              5.40              
Pavarde9023978  Vardas382022   5.56              5.20              
Pavarde9027509  Vardas7227810  6.20              6.20              
Pavarde9039469  Vardas7898412  8.20              9.00              
